"Sat: Jan 31","Jerk X Jollof: Blaq Pages, Jae Murphy, DJ Fiyahskull, Rozay","hip-hop, afrobeats, afro house","Catch One (Los Angeles)","10pm-2am","$23+","21+","","https://dice.fm/event/dk3a8e-jerk-x-jollof-los-angeles-grammy-weekend-w-enjoyment-worldwide-31st-jan-catch-one-los-angeles-tickets","","46053.9166666667"
"Sat: Jan 31","Moblack","afro house","Sound Nightclub (Los Angeles)","10pm-2am","$24.93","21+","","https://dice.fm/event/3on3al-moblack-31st-jan-sound-nightclub-los-angeles-tickets","","46053.9166666667"
"Sat: Jan 31","Tom & Collins","house","The Spotlight (Los Angeles)","10pm-2am","$22+","21+","","https://shotgun.live/en/events/tomandcollins2026","","46053.9166666667"
"Sat: Jan 31","Tottie & Lechuga All Night Long","house","Homage Brewing (Los Angeles)","10pm-2am","free","21+","","https://ra.co/events/2348078","","46053.9166666667"
"Sat: Jan 31","At Your Wurst w/ N2n, Stoley, The Botanist, Caroline Shinner","house","Wurstkuche Restaurant Venice Beach (Venice/Los Angeles)","10pm-2pm","$28+","","Clubview Records","https://posh.vip/e/n2n-wurstkche","","46053.9166666667"
"Sat: Jan 31","Boombox Cartel 360","trap, dubstep, big room","Exchange (Los Angeles)","10pm-3am","$20","21+","","https://www.tixr.com/groups/exchangela/events/boombox-cartel-360-165871","","46053.9166666667"
"Sat: Jan 31","Dombresky","tech house, funky house","Reframe Studios Indoors (Los Angeles)","10pm-3am","$73.65-135.96","","Framework ","https://dice.fm/event/eowxmd-framework-presents-dombresky-31st-jan-reframe-studios-indoors-los-angeles-tickets","","46053.9166666667"
"Sat: Jan 31","Ian Asher","EDM, house","Academy Nightclub (Los Angeles)","10pm-3am","$20+","21+","","https://www.tixr.com/groups/academy/events/ian-asher-168069","","46053.9166666667"
"Sat: Jan 31","Marbs","house","Spin Nightclub (San Diego)","10pm-3am","$20-30","21+","Steppin' Til Checkout","https://posh.vip/e/marbs-desert-hearts-bday-afters","","46053.9166666667"
"Sat: Jan 31","Pranks! Vol. 29 The Traffic Jam - PLO Man, DJ Spence","techno, acid house, jungle","TBA (Los Angeles)","10pm-4am","$16.80-33.55","","Canary Sound Werk","https://ra.co/events/2339384","","46053.9166666667"
"Sat: Jan 31","Pangaea, Martyn, Linda Lo, Lurch","techno, uk garage","TBA (DTLA/Los Angeles)","10pm-5:30am","$28-40","21+","Wellness Check","https://ra.co/events/2335987","","46053.9166666667"
"Sat: Jan 31","Wak: Surusinghe, Gbenga, Tahl, Sakaguchi","techno, club music, hyperpop, drum and bass","TBA (DTLA/Los Angeles)","10pm-6am","$22.85-34.30","21+","","https://ra.co/events/2338289","https://www.instagram.com/thispartyiswak/","46053.9166666667"
"Sat: Jan 31","Garage Freq's ","house, uk garage, dubstep, bass music, breaks","TBA (DTLA/Los Angeles)","11pm-4am","$5 pre / $10","21+","Thiccfreqness Records","https://www.gatherevents.online/event/9VGz-thiccfreqness-presents-garage-freq-s","","46053.9583333333"
"Sat: Jan 31","Impulse","uk garage, house","TBA (Los Angeles)","11pm-4am","$5-10","21+","Coastal Hook + Club Evil","https://www.gatherevents.online/event/3u6sJMb8Sm4CX2xfVcko?ref=partiful-ad","https://www.instagram.com/reel/DTEE6vsE-yi/","46053.9583333333"
"Sat: Jan 31","Ben Techy, Drakk, D4rkoholic, & Otak","hard techno","TBA (Los Angeles)","11pm-5am","$24 b4 1 / $27-35","","Sxtcy La","https://posh.vip/e/sxtcy-presents-ben-techy-drakk-d4rkoholic-tak","","46053.9583333333"
"Sat: Jan 31","Klasse Wrecks Showcase: Luca Lozano, Mr. Ho, Capes, Chofce","house","TBA (Los Angeles)","11pm-5am","$16-22","21+","","https://ra.co/events/2330208","","46053.9583333333"
"Sat: Jan 31","LA Fetish Weekend After Party: Xris- Smack, Vik Vook, Scythe","goth, industrial, witch house, darkwave, dark electro, post-punk, EBM","Drachaus (Los Angeles)","11pm-5am","$34+ / $40","21+","Nachturnal Events","https://www.eventbrite.com/e/nachturnal-events-presents-la-fetish-weekend-after-party-tickets-1979005702329","https://www.instagram.com/nachturnal_la/","46053.9583333333"
